SpaceId,FloorId,SpaceLabel,Area,UsageId,Capacity,ExamCapacity,SurfaceId,SurfaceType,DepartmentId,ConditionId,ConditionName,AccessTypeId,AccessType,ShowerCubicles,SpaceNotes,Tiered,DisabledAccess,AvProjectionOrPc,LeasedOut,LeasedIn,TimeTableRoom,LectureCapture,AttendanceMonitoring,HearingLoop,LastMeasured,DepartmentName,AsasId,AsasName,AsasRef,SectorId,SectorName,AcadYear,AsasNotes,usageName,SubUsage,SpaceType,HefceId,SpecialistTeaching,SpecialistResearch,teachingSpace,SpaceGroup,HefceCode,ShortDefinition,FullDefinition,Sort,FloorBuildingRef,BuildingId,GrossInternalArea,FloorNotes,BuildingName,BuildingRef,SiteID,PlanonZoneId,PlanonZoneName,Zone,BuiltDate,SiteName,SiteRef,tableDate
179,43,BG/05,75.35,1,30,NULL,520,SOFT,186,610,STANDARD,710,STAFF ONLY,NULL,NULL,0,0,0,1,0,NULL,NULL,NULL,NULL,2008-05-22 00:00:00.000,STUDY GROUP,4,ESTATES SERVICES,ESTA,2,SERVICES,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,BG,4,208.899993896484,NULL,BRUNSWICK BUILDING,B,1,NULL,NULL,1K,NULL,QUEENSGATE,Qgte,2012-1-31
185,44,B1/01,39.66,1,15,NULL,520,SOFT,186,610,STANDARD,710,STAFF ONLY,NULL,NULL,0,0,0,1,0,NULL,NULL,NULL,NULL,2009-04-15 00:00:00.000,STUDY GROUP,4,ESTATES SERVICES,ESTA,2,SERVICES,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,B1,4,174.800003051758,NULL,BRUNSWICK BUILDING,B,1,NULL,NULL,1K,NULL,QUEENSGATE,Qgte,2012-1-31
186,44,B1/01A,36.55,1,15,NULL,520,SOFT,186,610,STANDARD,710,STAFF ONLY,NULL,NULL,0,0,0,1,0,NULL,NULL,NULL,NULL,2009-04-15 00:00:00.000,STUDY GROUP,4,ESTATES SERVICES,ESTA,2,SERVICES,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,B1,4,174.800003051758,NULL,BRUNSWICK BUILDING,B,1,NULL,NULL,1K,NULL,QUEENSGATE,Qgte,2012-1-31
10306,45,B2/01A,33.26,1,15,NULL,520,SOFT,186,610,STANDARD,710,STAFF ONLY,NULL,NULL,0,0,0,1,0,NULL,NULL,NULL,NULL,2009-04-15 00:00:00.000,STUDY GROUP,4,ESTATES SERVICES,ESTA,2,SERVICES,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,B2,4,174.800003051758,NULL,BRUNSWICK BUILDING,B,1,NULL,NULL,1K,NULL,QUEENSGATE,Qgte,2012-1-31
188,45,B2/01,43.277,1,15,NULL,520,SOFT,186,610,STANDARD,710,STAFF ONLY,NULL,NULL,0,0,0,1,0,NULL,NULL,NULL,NULL,2009-04-15 00:00:00.000,STUDY GROUP,4,ESTATES SERVICES,ESTA,2,SERVICES,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,B2,4,174.800003051758,NULL,BRUNSWICK BUILDING,B,1,NULL,NULL,1K,NULL,QUEENSGATE,Qgte,2012-1-31
5525,87,SG/09,71.75,1,24,NULL,520,SOFT,2,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,2011-06-06 00:00:00.000,COMMON - AS,1,APPLIED SCIENCES,APPS,1,SCHOOL,8,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,SG,5,456.799987792969,NULL,SHOREHEAD BUILDING,S,1,NULL,NULL,1E,NULL,QUEENSGATE,Qgte,2012-1-31
9459,227,UCB3/21,54.2,1,36,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB3,56,1259.19995117188,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9470,228,UCB4/09,42.79,1,22,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,1,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB4,56,1257.69995117188,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9417,226,UCB2/02,76.02,1,30,NULL,520,SOFT,178,610,STANDARD,720,FULL ACCESS,NULL,NULL,0,1,0,0,0,NULL,NULL,NULL,NULL,2012-01-04 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB2,56,1453.80004882813,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
9457,227,UCB3/18,42.62,1,20,NULL,520,SOFT,178,610,STANDARD,710,STAFF ONLY,NULL,NULL,0,1,0,0,0,NULL,NULL,NULL,NULL,2011-11-24 00:00:00.000,UCB,50,UNIVERSITY CAMPUS BARNSLEY,UCBA,1,SCHOOL,5,NULL,CLASSROOM,NULL,ACADEMIC,1,0,0,1,CHANGEABLE,SMNIATE,Academic Core,"TEACHING SPACE  - LECTURE THEATRES, CLASSROOMS, SEMINAR, LABS, COMPUTING, WORKSHOPS, GYM, GREENHOUSE ETC.GENERALLY ACCESS FOR TEACHING STUDENTS",3,UCB3,56,1259.19995117188,NULL,UNIVERSITY CAMPUS BARNSLEY,UCB,9,5,UCB,2A,NULL,BARNSLEY,UCBy,2012-1-31
