BuildingId,Id,FloorName,GIA,tableDate
19,73,R2,1352.880005,30/09/2017
83,321,BL1,968.9099731,30/04/2018
9,35,CS6,2078,31/08/2013
75,279,qs2,517.1400146,31/12/2016
9,10,CS9,811,31/08/2012
83,320,BLG,966.6699829,31/10/2017
18,334,RW1,80.98000336,31/08/2017
33,53,W1,1573.719971,31/07/2014
37,293,HW4,200.5,31/01/2016
79,304,PH1,57.38000107,30/04/2017
20,98,ebG,1057,31/07/2012
37,118,HW3,1177.880005,31/08/2015
71,264,HHRB 3,242.9100037,31/07/2014
75,276,qsB,823.789978,28/02/2014
9,14,CS13,398,31/10/2013
40,141,LS1,1265.869995,31/03/2018
20,99,eb1,169.6000061,31/07/2013
9,26,CS2,3350,30/06/2014
70,265,CSL G,215.25,31/03/2016
69,260,RH 1A,36.86000061,31/05/2014
31,79,T5,1823.98999,29/02/2016
9,11,SB10,811,31/01/2017
31,76,T2,1537.569946,31/12/2016
57,219,MB1,683.2000122,31/07/2012
37,118,HW3,1189.900024,31/07/2013
7,30,CW3,890.7600098,31/03/2014
9,207,CS15 ROOF PLANT,267,29/02/2016
33,52,WG,1636.48999,28/02/2014
24,197,PLT1,17.39999962,31/12/2016
84,322,OA3,0,30/11/2016
75,276,qsB,823.789978,30/04/2012
40,142,LS2,1262,30/04/2012
71,263,HHRB 2,243,31/07/2015
9,11,CS10,811,30/09/2015
61,239,F76-1,38.70000076,31/01/2012
85,328,JPG,3041.47998,30/06/2017
52,209,JM1,274,31/03/2014
71,264,HHRB 3,242.8999939,31/12/2015
71,263,EK2,243,31/10/2016
69,258,RH 1,375.6700134,31/08/2013
33,53,W1,1574.199951,30/06/2013
9,33,CS4,2861,31/07/2014
31,77,T3,1113,30/06/2012
67,250,CAB 2,1686.579956,30/04/2016
2,4,BIC1,1257.069946,30/06/2015
72,266,BSG,2437.110107,30/06/2012
9,34,CS5,2506,31/07/2015
7,30,CW3,890.7000122,29/02/2016
67,248,CAB G,1417.780029,31/01/2014
72,269,BS3,1460.630005,30/09/2013
86,337,JPRG,0,31/07/2017
27,105,RHG,541,31/01/2012
76,280,JR12,0,30/11/2012
31,185,TC,581.5,31/03/2016
20,99,QSB1,169.6000061,28/02/2018
9,12,SB11,393.8800049,31/07/2016
18,119,RW,890,31/07/2016
31,75,T1,1465.660034,31/03/2014
79,304,PH1,57.38000107,31/08/2015
54,217,SU1,965.9000244,30/09/2013
24,198,PLT2,17.39999962,30/11/2015
71,262,EK1,244.6300049,30/09/2017
7,29,CW2,980.9199829,31/08/2014
28,108,SH1,836.0999756,30/06/2013
57,220,MB2,456.8699951,31/10/2015
83,333,BL2,379.730011,30/04/2018
20,99,eb1,169,30/06/2012
84,325,OA6,0,31/05/2017
33,55,W3,747.7000122,31/01/2013
83,320,BLG,966.6699829,30/04/2018
